job_company,job_date,job_salary,job_title
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【HW】(Sr.) Software Engineer(中和)
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【SW】SW Design Engineer(中和)-TC17284
高技企業股份有限公司,4/18,"月薪 28,000~45,000元",[資訊部] 系統整合設計師
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【SW】Front-End Web Developer(中和)-TC18224
哈瑪星科技股份有限公司,4/18,待遇面議,研發替代役程式設計師-高雄(HN)
凌群電腦股份有限公司,4/18,"月薪 28,000~60,000元",軟體工程師(企業網路)
永磐科技股份有限公司,4/18,待遇面議,Pre-sales
宏達電 HTC Corporation_宏達國際電子股份有限公司,4/18,待遇面議,[2019研發替代役] Viveport - Backend Engineer (Scala) - J01173
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【SW】SW Design Engineer(中和)-TC18245
首席國際獵才有限公司,4/18,"月薪 42,000~55,000元",前往國外去吧-電話客服專員-聲音好聽-不用輪大夜班I
威至科技股份有限公司,4/18,"月薪 32,000~42,000元",PLC電控工程師
樹碼系統家具 藝田空間設計_澳大企業有限公司,4/18,待遇面議,PHP工程師
IDEAHOUSE_合澤企業有限公司,4/18,待遇面議,系統工程師(電子商務)
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【LAB】(Sr.) Software Engineer in Validation(中和)
諦諾科技股份有限公司,4/18,"年薪 840,000~1,200,000元",Frontend Engineer 前端工程師
圓剛科技股份有限公司,4/18,待遇面議,Embedded system 韌體開發工程師
鈞陽系統整合有限公司,4/18,待遇面議,越南籍行政助理-台中
威技電器股份有限公司,4/18,待遇面議,Android App 工程師
天成醫療社團法人天晟醫院,4/18,待遇面議,醫管資訊系統設計師
戰國策網路科技股份有限公司,4/18,待遇面議,wordpress客制化前端工程師
戰國策網路科技股份有限公司,4/18,"月薪 50,000~70,000元",網管主管(或資深網管工程師)
白吃貓股份有限公司,4/18,"月薪 30,000~50,000元",前端工程師
薩摩亞商志強國際企業股份有限公司台灣分公司,4/18,待遇面議,駐東南亞硬體儲備主管
"經緯智庫股份有限公司 (MGR Consulting Co., Ltd.)",4/18,待遇面議,台灣電子業上市大廠   自動化軟體工程師  853
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【SW】SW Design Engineer-UI/UX(中和)
台灣美光(台灣美光晶圓科技股份有限公司/台灣美光記憶體股份有限公司/美商美光亞太科技股份有限公司台灣分公司),4/18,待遇面議,IT Operations Systems Manager - IT Engineering Services
英屬維京群島商恮欣科技股份有限公司台灣分公司,4/18,"月薪 40,000~80,000元",韌體設計工程師
國家中山科學研究院,4/18,"月薪 37,000元",飛彈火箭研究所108年第一次定期契約(身心障礙)人力進用-4.定期契約-資訊
精誠資訊股份有限公司,4/18,待遇面議,技術經理(資安)-M121
鉅茂科技股份有限公司,4/18,"月薪 25,000~39,000元",ERP資深客服專員(台北)
樹碼系統家具 藝田空間設計_澳大企業有限公司,4/18,待遇面議,學生實習-韌體工程師
勤謹智能有限公司,4/18,待遇面議,機器人軟體工程師
哈瑪星科技股份有限公司,4/18,待遇面議,專案經理-高雄(HN)
伊雲谷數位科技股份有限公司,4/18,待遇面議,資深資料庫工程師 Oracle DBA
傅氏國際文化事業有限公司,4/18,待遇面議,程式設計開發工程師 
捷宇科技有限公司,4/18,"月薪 24,000~25,000元",筆電維修客服工程師
好險網科技股份有限公司,4/18,待遇面議,(資深) PHP 工程師
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【TS】(Sr.) Software Application Engineer(中和)-TC18035
永磐科技股份有限公司,4/18,待遇面議,資安工程師
超象科技股份有限公司,4/18,待遇面議,演算法主管/工程師
鈺立微電子股份有限公司,4/18,待遇面議,演算法開發資深工程師/專案課長
