job_company,job_date,job_salary,job_title
高鐵_台灣高速鐵路股份有限公司,4/18,待遇面議,應用系統工程師(企業資源系統課)
慧友電子股份有限公司,4/18,待遇面議,iOS App Developer
鑫聯網國際認證股份有限公司,4/18,"月薪 30,000~50,000元",軟體設計維護工程師(高雄)
虹光精密工業股份有限公司,4/18,"月薪 30,000~99,000元",R070-韌體工程師
Hewlett Packard Enterprise_慧與科技股份有限公司,4/18,待遇面議,UEFI Firmware Engineer - Internship - 1035388
POSITIVE GRID_佳格數位科技有限公司,4/18,"月薪 70,000~110,000元",資深韌體工程師/Senior Embedded Firmware Developer - Embedded Linux
圓剛科技股份有限公司,4/18,待遇面議,iOS/OS X 高級工程師
祥儀企業股份有限公司,4/18,"月薪 34,000~38,000元",馬達驅動韌體工程師
鈞陽系統整合有限公司,4/18,"月薪 32,000~45,000元",軟體設計工程師
美商連科股份有限公司,4/18,"月薪 80,000~120,000元",資深軟體工程師 (Python)
凌群電腦股份有限公司,4/18,"月薪 28,000~60,000元",駐點工程師(約聘)
中國醫藥大學附設醫院,4/18,待遇面議,1JZ0-人工智慧醫學影像診斷中心 研發工程師(前端工程師)
樹碼系統家具 藝田空間設計_澳大企業有限公司,4/18,待遇面議,iOS APP 軟體工程師
良興股份有限公司,4/18,"月薪 35,000~60,000元",電子商務網站工程師
東南旅行社股份有限公司,4/18,待遇面議,資深網站前端工程師(行銷企劃部)
凌群電腦股份有限公司,4/18,"月薪 37,000~45,000元",研發替代役-軟體工程師
遊戲橘子數位科技股份有限公司,4/18,待遇面議,電商平台ASP.NET工程師(JOB)
岡豐股份有限公司,4/18,"月薪 25,000~45,000元",【北區】電機PLC軟體開發工程師/資深電機PLC軟體開發工程師
卓越動力資訊股份有限公司,4/18,待遇面議,雲端服務開發工程師
Tata Consultancy Services Limited Taiwan Branch_印度商塔塔顧問服務有限公司台灣分公司,4/18,待遇面議,Angular前端工程師Front End Web Developer
哈瑪星科技股份有限公司,4/18,"月薪 30,000~45,000元",軟體程式設計師-台北(HP)
華碩電腦股份有限公司,4/18,"月薪 28,000~60,000元",AD30050 應用系統程式設計師
幣聖科技有限公司,4/18,待遇面議,（SD）System Designer
伊雲谷數位科技股份有限公司,4/18,待遇面議,資深資料庫工程師 Oracle DBA
漢磊科技股份有限公司,4/18,待遇面議,CIM資深工程師
戰國策網路科技股份有限公司,4/18,"月薪 25,000~35,000元",網管客服工程師(大三或大四實習生)
昆盈企業股份有限公司,4/18,待遇面議,Android／iOS App 技術主管／Lead
北祥股份有限公司,4/18,"月薪 38,000~55,000元",技術支援工程師(創新部門)
樹碼系統家具 藝田空間設計_澳大企業有限公司,4/18,待遇面議,Android app軟體工程師
元皓能源股份有限公司,4/18,待遇面議,軟體研發工程師
邑昇實業股份有限公司,4/18,待遇面議,光電事業部 電子工程師
華碩電腦股份有限公司,4/18,"月薪 28,000~60,000元",AD30050_2 應用系統程式設計師
柯賓漢數位金融科技有限公司,4/18,待遇面議,ENGINEERING - Site Reliability Engineer
昆盈企業股份有限公司,4/18,待遇面議,資深軟體測試工程師/Lead
國泰綜合證券股份有限公司,4/18,待遇面議,自營應用工程師
幣聖科技有限公司,4/18,待遇面議,（PG）Programming
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【FW】(Sr.) Software Engineer-Web development(中和)
鉑鈞投資發展有限公司,4/18,"月薪 25,000~40,000元",客服工程師
翊悅科技有限公司,4/18,待遇面議,COBOL程式設計師
倍利科技股份有限公司,4/18,待遇面議,軟體開發主管/技術主管(台中)
東南旅行社股份有限公司,4/18,待遇面議,資深前端工程師 Senior React.js Frontend Developer(資訊本部)
鈞陽系統整合有限公司,4/18,待遇面議,越南籍行政助理-台中
超象科技股份有限公司,4/18,待遇面議,演算法主管/工程師
鈺立微電子股份有限公司,4/18,待遇面議,演算法開發資深工程師/專案課長
福比股份有限公司,4/18,"月薪 28,000~32,000元",電腦維護工程師
樂維科技有限公司,4/18,"月薪 28,000~38,000元",軟體設計工程師
樂維科技有限公司,4/18,"月薪 27,000~38,000元",系統工程師
